interval,day,week,classifier,score
70,Thursday,14,person,0.869892
44,Thursday,14,person,0.668188
74,Thursday,14,person,0.978119
71,Thursday,14,person,0.668188
29,Friday,14,person,0.524979
74,Thursday,14,person,0.908877
40,Friday,14,person,0.28905
75,Thursday,14,person,0.331812
31,Friday,14,person,0.982014
40,Friday,14,person,0.450166
71,Thursday,14,person,0.549834
78,Thursday,14,person,0.668188
86,Thursday,14,person,0.845535
32,Friday,14,person,0.832018
87,Thursday,14,person,0.768525
40,Thursday,14,person,0.401312
81,Thursday,14,person,0.450166
42,Thursday,14,person,0.268941
87,Thursday,14,person,0.973403
35,Friday,14,person,0.310026
72,Thursday,14,person,0.524979
38,Friday,14,person,0.998887
44,Thursday,14,person,0.475021
74,Thursday,14,person,0.475021
44,Thursday,14,person,0.425557
77,Thursday,14,person,0.622459
40,Friday,14,person,0.425557
77,Thursday,14,person,0.942676
44,Thursday,14,person,0.731059
60,Thursday,14,person,0.401312
44,Friday,14,person,0.985226
40,Friday,14,person,0.549834
45,Thursday,14,person,0.268941
54,Thursday,14,person,0.310026
46,Friday,14,person,0.924142
40,Friday,14,person,0.28905
80,Thursday,14,person,0.817574
54,Thursday,14,person,0.331812
64,Thursday,14,person,0.710949
81,Thursday,14,person,0.28905
59,Thursday,14,person,0.310026
28,Friday,14,person,0.475021
29,Friday,14,person,0.574443
30,Friday,14,person,0.28905
31,Friday,14,person,0.75026
32,Friday,14,person,0.354344
56,Friday,14,person,0.598688
64,Thursday,14,person,0.992608
82,Thursday,14,person,0.377541
32,Friday,14,person,0.5
82,Thursday,14,person,0.524979
63,Thursday,14,person,0.401312
67,Thursday,14,person,0.645656
66,Thursday,14,person,0.999447
63,Thursday,14,person,0.377541
33,Friday,14,person,0.310026
65,Friday,14,person,0.75026
69,Thursday,14,person,0.967705
73,Thursday,14,person,0.990048
63,Thursday,14,person,0.450166
26,Friday,14,person,0.331812
35,Friday,14,person,0.331812
64,Friday,14,person,0.999447
70,Thursday,14,person,0.268941
65,Friday,14,person,0.28905
75,Thursday,14,person,0.645656
79,Thursday,14,person,0.450166
28,Friday,14,person,0.549834
71,Thursday,14,person,0.268941
68,Friday,14,person,0.768525
43,Friday,14,person,0.425557
71,Thursday,14,person,0.331812
68,Friday,14,person,0.475021
43,Friday,14,person,0.310026
67,Friday,14,person,0.645656
64,Thursday,14,person,0.869892
80,Thursday,14,person,0.28905
68,Friday,14,person,0.310026
65,Thursday,14,person,0.310026
81,Thursday,14,person,0.475021
71,Thursday,14,person,0.28905
31,Friday,14,person,0.28905
81,Thursday,14,person,0.354344
72,Thursday,14,person,0.574443
71,Thursday,14,person,0.967705
70,Friday,14,person,0.450166
74,Thursday,14,person,0.987872
87,Thursday,14,person,0.331812
74,Thursday,14,person,0.5
72,Thursday,14,person,0.331812
87,Thursday,14,person,0.28905
74,Friday,14,person,0.425557
72,Thursday,14,person,0.5
75,Thursday,14,person,0.5
84,Friday,14,person,0.268941
44,Friday,14,person,0.401312
28,Friday,14,person,0.28905
72,Thursday,14,person,0.354344
72,Thursday,14,person,0.99593
77,Thursday,14,person,0.622459
