interval,day,week,classifier,score
74,Thursday,14,person,0.622459
26,Friday,14,person,0.331812
40,Friday,14,person,0.549834
77,Thursday,14,person,0.622459
40,Friday,14,person,0.28905
28,Friday,14,person,0.475021
77,Thursday,14,person,0.785835
34,Friday,14,person,0.425557
68,Friday,14,person,0.768525
81,Thursday,14,person,0.425557
29,Friday,14,person,0.574443
81,Thursday,14,person,0.5
28,Friday,14,person,0.549834
79,Thursday,14,person,0.942676
68,Friday,14,person,0.475021
82,Thursday,14,person,0.75026
31,Friday,14,person,0.75026
31,Friday,14,person,0.28905
82,Thursday,14,person,0.331812
80,Thursday,14,person,0.689974
81,Thursday,14,person,0.964429
70,Friday,14,person,0.450166
43,Friday,14,person,0.956893
