classifier,score,id,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second
Graduation,0.570966,20160418084316-2315-00,2016,4,18,8,43,16
Graduation,0.549149,20160418164745-2381-00,2016,4,18,16,47,45
Graduation,0.556915,20160417223730-2252-01,2016,4,17,22,37,30
Graduation,0.529731,20160417205139-2230-00,2016,4,17,20,51,39
Graduation,0.572186,20160418123704-2356-01,2016,4,18,12,37,4
Graduation,0.546777,20160419172530-2690-01,2016,4,19,17,25,30
Graduation,0.512003,20160420224137-3114-00,2016,4,20,22,41,37
Graduation,0.568509,20160422182147-3717-00,2016,4,22,18,21,47
Graduation,0.558143,20160422170405-3666-00,2016,4,22,17,4,5
Graduation,0.553972,20160423124820-3916-00,2016,4,23,12,48,20
Graduation,0.58873,20160422221630-3789-00,2016,4,22,22,16,30
Graduation,0.573823,20160423125315-3922-00,2016,4,23,12,53,15
Graduation,0.541176,20160405173815-272-01,2016,4,5,17,38,15
Graduation,0.529387,20160407195610-372-01,2016,4,7,19,56,10
Graduation,0.555776,20160407201409-381-01,2016,4,7,20,14,9
Graduation,0.569208,20160415200929-1386-01,2016,4,15,20,9,29
Graduation,0.529021,20160417120929-1999-00,2016,4,17,12,9,29
Graduation,0.57219,20160416113457-1547-00,2016,4,16,11,34,57
Graduation,0.584597,20160418173557-2400-01,2016,4,18,17,35,57
Graduation,0.527966,20160417223441-2250-01,2016,4,17,22,34,41
Graduation,0.562253,20160418072321-2297-01,2016,4,18,7,23,21
Graduation,0.525699,20160420002646-2785-00,2016,4,20,0,26,46
Graduation,0.598031,20160421160347-3266-00,2016,4,21,16,3,47
Graduation,0.608892,20160421160436-3267-00,2016,4,21,16,4,36
Graduation,0.525082,20160406060456-402-01,2016,4,6,6,4,56
Graduation,0.528216,20160407201620-383-01,2016,4,7,20,16,20
Graduation,0.581164,20160413205137-705-01,2016,4,13,20,51,37
Graduation,0.537792,20160415002540-1132-01,2016,4,15,0,25,40
Graduation,0.51436,20160417200548-2209-00,2016,4,17,20,5,48
Graduation,0.554349,20160419073733-2539-01,2016,4,19,7,37,33
Graduation,0.511499,20160422100939-3498-00,2016,4,22,10,9,39
Graduation,0.521011,20160422185404-3732-01,2016,4,22,18,54,4
Graduation,0.510972,20160407194145-365-00,2016,4,7,19,41,45
Graduation,0.594085,20160419220905-2776-01,2016,4,19,22,9,5
Graduation,0.518046,20160421183951-3335-00,2016,4,21,18,39,51
Graduation,0.549426,20160422235456-3802-00,2016,4,22,23,54,56
Graduation,0.502664,20160409210235-253-00,2016,4,9,21,2,35
Graduation,0.502328,20160415223822-1440-00,2016,4,15,22,38,22
Graduation,0.523776,20160422235214-3796-00,2016,4,22,23,52,14
Wedding,0.905603,20160415112739-1271-00,2016,4,15,11,27,39
Wedding,0.861413,20160415114432-1279-00,2016,4,15,11,44,32
Wedding,0.92419,20160417091957-1919-01,2016,4,17,9,19,57
Wedding,0.890478,20160423190425-4134-01,2016,4,23,19,4,25
Wedding,0.90414,20160423190523-4136-01,2016,4,23,19,5,23
Wedding,0.9283,20160418071418-2291-01,2016,4,18,7,14,18
Wedding,0.804464,20160421204831-3369-01,2016,4,21,20,48,31
Wedding,0.859912,20160421191558-3349-01,2016,4,21,19,15,58
Wedding,0.895912,20160423095829-3843-00,2016,4,23,9,58,29
Wedding,0.840405,20160411184324-07-01,2016,4,11,18,43,24
Wedding,0.852552,20160416051906-1479-00,2016,4,16,5,19,6
Wedding,0.835902,20160416024143-1475-00,2016,4,16,2,41,43
Wedding,0.847881,20160418062829-2270-00,2016,4,18,6,28,29
Wedding,0.822701,20160410193042-279-00,2016,4,10,19,30,42
Wedding,0.778945,20160422193031-3752-01,2016,4,22,19,30,31
Wedding,0.764737,20160423202704-4194-00,2016,4,23,20,27,4
Wedding,0.847444,20160424095833-4280-01,2016,4,24,9,58,33
Wedding,0.692166,20160404000237-390-00,2016,4,4,0,2,37
Wedding,0.805974,20160404231921-61-01,2016,4,4,23,19,21
Wedding,0.784882,20160408105559-65-01,2016,4,8,10,55,59
Wedding,0.869258,20160410134150-82-01,2016,4,10,13,41,50
Wedding,0.843736,20160411073649-392-00,2016,4,11,7,36,49
Wedding,0.875745,20160411095844-448-00,2016,4,11,9,58,44
Wedding,0.811733,20160412185802-292-00,2016,4,12,18,58,2
Wedding,0.812104,20160412185950-293-00,2016,4,12,18,59,50
Wedding,0.846451,20160414123439-913-01,2016,4,14,12,34,39
